"Context","English","Gibberish","French","Spanish","German","Korean","BrazilianPortuguese","SimplifedChinese","Russian","Italian","Portuguese","Hungarian","Japanese","Norwegian","Polish","Dutch","Romanian","Danish","Czech","Swedish","Ukrainian","Greek","Arabic","Vietnamese","","","","","","","","","","","","","","",""
"","Brown Glass","","","","","","","","Коричневое стекло","","","","","","","","","","","","","","",""
"","Green Glass","","","","","","","","Зелёное стекло","","","","","","","","","","","","","","",""
"","Grey Glass","","","","","","","","Серое стекло","","","","","","","","","","","","","","",""
"","Orange Glass","","","","","","","","Оранжевое стекло","","","","","","","","","","","","","","",""
"","Purple Glass","","","","","","","","Фиолетовое стекло","","","","","","","","","","","","","","",""
"","Red Glass","","","","","","","","Красное стекло","","","","","","","","","","","","","","",""
"","Yellow Glass","","","","","","","","Жёлтое стекло","","","","","","","","","","","","","","",""
"","A Black Glass used for building windows.","","","","","","","","Используется для создания окон и как строительный материал","","","","","","","","","","","","","","",""
"","A Blue Glass used for building windows.","","","","","","","","Используется для создания окон и как строительный материал","","","","","","","","","","","","","","",""
"","A Brown Glass used for building windows.","","","","","","","","Используется для создания окон и как строительный материал","","","","","","","","","","","","","","",""
"","A Green Glass used for building windows.","","","","","","","","Используется для создания окон и как строительный материал","","","","","","","","","","","","","","",""
"","A Grey Glass used for building windows.","","","","","","","","Используется для создания окон и как строительный материал","","","","","","","","","","","","","","",""
"","A Orange Glass used for building windows.","","","","","","","","Используется для создания окон и как строительный материал","","","","","","","","","","","","","","",""
"","A Purple Glass used for building windows.","","","","","","","","Используется для создания окон и как строительный материал","","","","","","","","","","","","","","",""
"","A Red Glass used for building windows.","","","","","","","","Используется для создания окон и как строительный материал","","","","","","","","","","","","","","",""
"","A Yellow Glass used for building windows.","","","","","","","","Используется для создания окон и как строительный материал","","","","","","","","","","","","","","",""
"","Glassworking Table","","","","","","","","Верстак для работы со стеклом","","","","","","","","","","","","","","",""
"","A Table Used To Create Stained Glass.","","","","","","","","Верстак для создания разных видов окон и стёкол","","","","","","","","","","","","","","",""
"","Frame","","","","","","","","Маленькая рама","","","","","","","","","","","","","","",""
"","Frames","","","","","","","","Маленькие рамы","","","","","","","","","","","","","","",""
"","A Small Frame For Stained Glass.","","","","","","","","Маленькая рама для окна","","","","","","","","","","","","","","",""
"","Long Frame","","","","","","","","Широкая рама","","","","","","","","","","","","","","",""
"","Long Frames","","","","","","","","Широкие рамы","","","","","","","","","","","","","","",""
"","A Wide Frame For Stained Glass","","","","","","","","Широкая рама для окна","","","","","","","","","","","","","","",""
"","Frame - Long","","","","","","","","Широкая рама","","","","","","","","","","","","","","",""
"","Large Frame","","","","","","","","Большая рама","","","","","","","","","","","","","","",""
"","Large Frames","","","","","","","","Большые рамы","","","","","","","","","","","","","","",""
"","A Large Frame For Stained Glass.","","","","","","","","Большая рама для окна","","","","","","","","","","","","","","",""
"","Frame - Large","","","","","","","","Большая рама","","","","","","","","","","","","","","",""
"","Tall Frame","","","","","","","","Высокая рама","","","","","","","","","","","","","","",""
"","Tall Frames","","","","","","","","Высокие рамы","","","","","","","","","","","","","","",""
"","A Tall Frame For Stained Glass.","","","","","","","","Высокая рама для окна","","","","","","","","","","","","","","",""
"","Frame - Tall","","","","","","","","Высокая рама","","","","","","","","","","","","","","",""
"","Large Stained Glass","","","","","","","","Большое окно","","","","","","","","","","","","","","",""
"","A 2x2 Decorative Stained Glass Window.","","","","","","","","2x2 Большое окно в раме","","","","","","","","","","","","","","",""
"","Large Blue Stained Glass","","","","","","","","Большое синее окно","","","","","","","","","","","","","","",""
"","Decorative 2x2 Large Blue Stained Glass Window","","","","","","","","2x2 Большое окно в раме","","","","","","","","","","","","","","",""
"","Large Stained Glass - Blue","","","","","","","","Большое синее окно","","","","","","","","","","","","","","",""
"","Large Black Stained Glass","","","","","","","","Большое чёрное окно","","","","","","","","","","","","","","",""
"","Decorative 2x2 Large Black Stained Glass Window.","","","","","","","","2x2 Большое окно в раме","","","","","","","","","","","","","","",""
"","Large Stained Glass - Black","","","","","","","","Большое чёрное окно","","","","","","","","","","","","","","",""
"","Large Brown Stained Glass","","","","","","","","Большое коричневое окно","","","","","","","","","","","","","","",""
"","Decorative 2x2 Large Brown Stained Glass Window.","","","","","","","","2x2 Большое окно в раме","","","","","","","","","","","","","","",""
"","Large Stained Glass - Brown","","","","","","","","Большое коричневое окно","","","","","","","","","","","","","","",""
"","Large Green Stained Glass","","","","","","","","Большое зелёное окно","","","","","","","","","","","","","","",""
"","Decorative 2x2 Large Green Stained Glass Window.","","","","","","","","2x2 Большое окно в раме","","","","","","","","","","","","","","",""
"","Large Stained Glass - Green","","","","","","","","Большое зелёное окно","","","","","","","","","","","","","","",""
"","Large Orange Stained Glass","","","","","","","","Большое оранжевое окно","","","","","","","","","","","","","","",""
"","Decorative 2x2 Large Orange Stained Glass Window.","","","","","","","","2x2 Большое окно в раме","","","","","","","","","","","","","","",""
"","Large Stained Glass - Orange","","","","","","","","Большое оранжевое окно","","","","","","","","","","","","","","",""
"","Large Purple Stained Glass","","","","","","","","Большое фиолетовое окно","","","","","","","","","","","","","","",""
"","Decorative 2x2 Large Purple Stained Glass Window.","","","","","","","","2x2 Большое окно в раме","","","","","","","","","","","","","","",""
"","Large Stained Glass - Purple","","","","","","","","Большое фиолетовое окно","","","","","","","","","","","","","","",""
"","Large Red Stained Glass","","","","","","","","Большое красное окно","","","","","","","","","","","","","","",""
"","Decorative 2x2 Large Red Stained Glass Window.","","","","","","","","2x2 Большое окно в раме","","","","","","","","","","","","","","",""
"","Large Stained Glass - Red","","","","","","","","Большое красное окно","","","","","","","","","","","","","","",""
"","Large Yellow Stained Glass","","","","","","","","Большое жёлтое окно","","","","","","","","","","","","","","",""
"","Decorative 2x2 Large Yellow Stained Glass Window.","","","","","","","","2x2 Большое окно в раме","","","","","","","","","","","","","","",""
"","Large Stained Glass - Yellow","","","","","","","","Большое жёлтое окно","","","","","","","","","","","","","","",""
"","Tall Stained Glass","","","","","","","","Высокое окно","","","","","","","","","","","","","","",""
"","A 1x2 Decorative Stained Glass Window.","","","","","","","","1х2 Высокое окно в раме","","","","","","","","","","","","","","",""
"","Tall Blue Stained Glass","","","","","","","","Высокое синее окно","","","","","","","","","","","","","","",""
"","Decorative 1x2 Tall Blue Stained Glass Window.","","","","","","","","1х2 Высокое окно в раме","","","","","","","","","","","","","","",""
"","Tall Stained Glass - Blue","","","","","","","","Высокое синее окно","","","","","","","","","","","","","","",""
"","Tall Black Stained Glass","","","","","","","","Высокое чёрное окно","","","","","","","","","","","","","","",""
"","Decorative 1x2 Tall Black Stained Glass Window.","","","","","","","","1х2 Высокое окно в раме","","","","","","","","","","","","","","",""
"","Tall Stained Glass - Black","","","","","","","","Высокое чёрное окно","","","","","","","","","","","","","","",""
"","Tall Brown Stained Glass","","","","","","","","Высокое коричневое окно","","","","","","","","","","","","","","",""
"","Decorative 1x2 Tall Brown Stained Glass Window.","","","","","","","","1х2 Высокое окно в раме","","","","","","","","","","","","","","",""
"","Tall Stained Glass - Brown","","","","","","","","Высокое коричневое окно","","","","","","","","","","","","","","",""
"","Tall Green Stained Glass","","","","","","","","Высокое зелёное окно","","","","","","","","","","","","","","",""
"","Decorative 1x2 Tall Green Stained Glass Window.","","","","","","","","1х2 Высокое окно в раме","","","","","","","","","","","","","","",""
"","Tall Stained Glass - Green","","","","","","","","Высокое зелёное окно","","","","","","","","","","","","","","",""
"","Tall Orange Stained Glass","","","","","","","","Высокое оранжевое окно","","","","","","","","","","","","","","",""
"","Decorative 1x2 Tall Orange Stained Glass Window.","","","","","","","","1х2 Высокое окно в раме","","","","","","","","","","","","","","",""
"","Tall Stained Glass - Orange","","","","","","","","Высокое оранжевое окно","","","","","","","","","","","","","","",""
"","Tall Purple Stained Glass","","","","","","","","Высокое фиолетовое окно","","","","","","","","","","","","","","",""
"","Decorative 1x2 Tall Purple Stained Glass Window.","","","","","","","","1х2 Высокое окно в раме","","","","","","","","","","","","","","",""
"","Tall Stained Glass - Purple","","","","","","","","Высокое фиолетовое окно","","","","","","","","","","","","","","",""
"","Tall Red Stained Glass","","","","","","","","Высокое красное окно","","","","","","","","","","","","","","",""
"","Decorative 1x2 Tall Red Stained Glass Window.","","","","","","","","1х2 Высокое окно в раме","","","","","","","","","","","","","","",""
"","Tall Stained Glass - Red","","","","","","","","Высокое красное окно","","","","","","","","","","","","","","",""
"","Tall Yellow Stained Glass","","","","","","","","Высокое жёлтое окно","","","","","","","","","","","","","","",""
"","Decorative 1x2 Tall Yellow Stained Glass Window.","","","","","","","","1х2 Высокое окно в раме","","","","","","","","","","","","","","",""
"","Tall Stained Glass - Yellow","","","","","","","","Высокое жёлтое окно","","","","","","","","","","","","","","",""
"","Long Stained Glass","","","","","","","","Широкое окно","","","","","","","","","","","","","","",""
"","A 2x1 Decorative Stained Glass Window.","","","","","","","","1х2 Высокое окно в раме","","","","","","","","","","","","","","",""
"","Long Blue Stained Glass","","","","","","","","Широкое синее окно","","","","","","","","","","","","","","",""
"","Decorative 2x1 Long Blue Stained Glass Window.","","","","","","","","2х1 Широкое окно в раме","","","","","","","","","","","","","","",""
"","Long Stained Glass - Blue","","","","","","","","Широкое синее окно","","","","","","","","","","","","","","",""
"","Long Black Stained Glass","","","","","","","","Широкое чёрное окно","","","","","","","","","","","","","","",""
"","Decorative 2x1 Long Black Stained Glass Window.","","","","","","","","2х1 Широкое окно в раме","","","","","","","","","","","","","","",""
"","Long Stained Glass - Black","","","","","","","","Широкое чёрное окно","","","","","","","","","","","","","","",""
"","Long Brown Stained Glass","","","","","","","","Широкое коричневое окно","","","","","","","","","","","","","","",""
"","Decorative 2x1 Long Brown Stained Glass Window.","","","","","","","","2х1 Широкое окно в раме","","","","","","","","","","","","","","",""
"","Long Stained Glass - Brown","","","","","","","","Широкое коричневое окно","","","","","","","","","","","","","","",""
"","Long Green Stained Glass","","","","","","","","Широкое зелёное окно","","","","","","","","","","","","","","",""
"","Decorative 2x1 Long Green Stained Glass Window.","","","","","","","","2х1 Широкое окно в раме","","","","","","","","","","","","","","",""
"","Long Stained Glass - Green","","","","","","","","Широкое зелёное окно","","","","","","","","","","","","","","",""
"","Long Orange Stained Glass","","","","","","","","Широкое оранжевое окно","","","","","","","","","","","","","","",""
"","Decorative 2x1 Long Orange Stained Glass Window.","","","","","","","","2х1 Широкое окно в раме","","","","","","","","","","","","","","",""
"","Long Stained Glass - Orange","","","","","","","","Широкое оранжевое окно","","","","","","","","","","","","","","",""
"","Long Purple Stained Glass","","","","","","","","Широкое фиолетовое окно","","","","","","","","","","","","","","",""
"","Decorative 2x1 Long Purple Stained Glass Window.","","","","","","","","2х1 Широкое окно в раме","","","","","","","","","","","","","","",""
"","Long Stained Glass - Purple","","","","","","","","Широкое фиолетовое окно","","","","","","","","","","","","","","",""
"","Long Red Stained Glass","","","","","","","","Широкое красное окно","","","","","","","","","","","","","","",""
"","Decorative 2x1 Long Red Stained Glass Window.","","","","","","","","2х1 Широкое окно в раме","","","","","","","","","","","","","","",""
"","Long Stained Glass - Red","","","","","","","","Широкое красное окно","","","","","","","","","","","","","","",""
"","Long Yellow Stained Glass","","","","","","","","Широкое жёлтое окно","","","","","","","","","","","","","","",""
"","Decorative 2x1 Long Yellow Stained Glass Window.","","","","","","","","2х1 Широкое окно в раме","","","","","","","","","","","","","","",""
"","Long Stained Glass - Yellow","","","","","","","","Широкое жёлтое окно","","","","","","","","","","","","","","",""
"","Stained Glass","","","","","","","","Окно","","","","","","","","","","","","","","",""
"","Decorative Stained Glass Window.","","","","","","","","Декоративное окно","","","","","","","","","","","","","","",""
"","Blue Stained Glass","","","","","","","","Синее окно","","","","","","","","","","","","","","",""
"","Decorative Blue Stained Glass Window.","","","","","","","","Декоративное окно","","","","","","","","","","","","","","",""
"","Stained Glass - Blue","","","","","","","","Синее окно","","","","","","","","","","","","","","",""
"","Black Stained Glass","","","","","","","","Чёрное окно","","","","","","","","","","","","","","",""
"","Decorative Black Stained Glass Window.","","","","","","","","Декоративное окно","","","","","","","","","","","","","","",""
"","Stained Glass - Black","","","","","","","","Чёрное окно","","","","","","","","","","","","","","",""
"","Brown Stained Glass","","","","","","","","Коричневое окно","","","","","","","","","","","","","","",""
"","Decorative Brown Stained Glass Window.","","","","","","","","Декоративное окно","","","","","","","","","","","","","","",""
"","Stained Glass - Brown","","","","","","","","Коричневое окно","","","","","","","","","","","","","","",""
"","Green Stained Glass","","","","","","","","Зелёное окно","","","","","","","","","","","","","","",""
"","Decorative Green Stained Glass Window.","","","","","","","","Декоративное окно","","","","","","","","","","","","","","",""
"","Stained Glass - Green","","","","","","","","Зелёное окно","","","","","","","","","","","","","","",""
"","Orange Stained Glass","","","","","","","","Оранжевое окно","","","","","","","","","","","","","","",""
"","Decorative Orange Stained Glass Window.","","","","","","","","Декоративное окно","","","","","","","","","","","","","","",""
"","Stained Glass - Orange","","","","","","","","Оранжевое окно","","","","","","","","","","","","","","",""
"","Purple Stained Glass","","","","","","","","Фиолетовое окно","","","","","","","","","","","","","","",""
"","Decorative Purple Stained Glass Window.","","","","","","","","Декоративное окно","","","","","","","","","","","","","","",""
"","Stained Glass - Purple","","","","","","","","Фиолетовое окно","","","","","","","","","","","","","","",""
"","Red Stained Glass","","","","","","","","Красное окно","","","","","","","","","","","","","","",""
"","Decorative Red Stained Glass Window.","","","","","","","","Декоративное окно","","","","","","","","","","","","","","",""
"","Stained Glass - Red","","","","","","","","Красное окно","","","","","","","","","","","","","","",""
"","Yellow Stained Glass","","","","","","","","Жёлтое окно","","","","","","","","","","","","","","",""
"","Decorative Yellow Stained Glass Window.","","","","","","","","Декоративное окно","","","","","","","","","","","","","","",""
"","Stained Glass - Yellow","","","","","","","","Жёлтое окно","","","","","","","","","","","","","","",""
"","Batter","","","","","","","","Жидкое тесто","","","","","","","","","","","","","","",""
"","Battered Fish","","","","","","","","Рыба в кляре","","","","","","","","","","","","","","",""
"","Fresh Battered Fish","","","","","","","","Рыба обжаренная в тесте","","","","","","","","","","","","","","",""
"","Beef Burgr","","","","","","","","Говяжий бургер","","","","","","","","","","","","","","",""
"","Charred Beef Burger.","","","","","","","","Две мясные котлеты гриль и специальный соус сыр огурцы салат и лук всё на булочке с кунжутом.Только так и это Eco Story Бургер-Мак","","","","","","","","","","","","","","",""
"","Beef Burger","","","","","","","","Бургер из говядины","","","","","","","","","","","","","","",""
"","Beer","","","","","","","","Пиво","","","","","","","","","","","","","","",""
"","Organic Eco Friendly Fuel","","","","","","","","В жизни всегда есть место для пива","","","","","","","","","","","","","","",""
"","Brioche","","","","","","","","Бриошь","","","","","","","","","","","","","","",""
"","A Delicious, Honey Soft Roll.","","","","","","","","Сладкая булка из сдобного теста на пивных дрожжах с добавлением масла","","","","","","","","","","","","","","",""
"","Butter","","","","","","","","Сливочное масло","","","","","","","","","","","","","","",""
"","Turning Butter.","","","","","","","","Сливочное масло просто ешь и ничего не спрашивай","","","","","","","","","","","","","","",""
"","Chicken Drumsticks","","","","","","","","Куринные ножки","","","","","","","","","","","","","","",""
"","Raw Chicken Drumsticks","","","","","","","","Свежие куриные ножки","","","","","","","","","","","","","","",""
"","Chicken Wings","","","","","","","","Куринные крылышки","","","","","","","","","","","","","","",""
"","Raw Chicken Wings","","","","","","","","Свежие Куринные крылышки","","","","","","","","","","","","","","",""
"","Coffee","","","","","","","","Кофе","","","","","","","","","","","","","","",""
"","100% Real Coffee","","","","","","","","100% натуральный кофе","","","","","","","","","","","","","","",""
"","Corn Syrup","","","","","","","","Кукурузный сироп","","","","","","","","","","","","","","",""
"","Corn syrup, also known as glucose syrup to confectioners","","","","","","","","Кукурузный сироп он ещё известен, как глюкозный сироп","","","","","","","","","","","","","","",""
"","Cream","","","","","","","","Молочный крем","","","","","","","","","","","","","","",""
"","Fluffy Cream a byproduct of making milk","","","","","","","","Пышный молочный крем","","","","","","","","","","","","","","",""
"","Crispy Rolls","","","","","","","","Поджаренная булочка","","","","","","","","","","","","","","",""
"","Crispy Rolls Baked With Heat.","","","","","","","","Поджаренная булочка на огне","","","","","","","","","","","","","","",""
"","CrispyRolls","","","","","","","","Поджаренная булочка","","","","","","","","","","","","","","",""
"","Straight Cut Chips","","","","","","","","Нарезанный картофель","","","","","","","","","","","","","","",""
"","Straight Cut Chips, Ready Cut for Cooking","","","","","","","","Нарезанный на ровные дольки картофель готовый для готовки","","","","","","","","","","","","","","",""
"","Egg","","","","","","","","Яйцо","","","","","","","","","","","","","","",""
"","Egg's","","","","","","","","Яиц","","","","","","","","","","","","","","",""
"","Egg's Gathered From The Chicken Coop.","","","","","","","","Яйца прямиком из курятника","","","","","","","","","","","","","","",""
"","Dozen Egg's","","","","","","","","Дюжина яиц","","","","","","","","","","","","","","",""
"","1/2 Dozen Egg's","","","","","","","","Пол дюжины яиц","","","","","","","","","","","","","","",""
"","Ground Bean","","","","","","","","Молотый боб","","","","","","","","","","","","","","",""
"","Ground Beans","","","","","","","","Молотые бобы","","","","","","","","","","","","","","",""
"","Ground beans To Perfection For the Perfect Cup","","","","","","","","Молотые бобы готовы для приготовления кофе","","","","","","","","","","","","","","",""
"","Honey","","","","","","","","Мёд","","","","","","","","","","","","","","",""
"","Eco Fresh, Reserve Honey.","","","","","","","","Экологически чистый мёд","","","","","","","","","","","","","","",""
"","Battered Hot Chips","","","","","","","","Картошка фри","","","","","","","","","","","","","","",""
"","IceCream","","","","","","","","Мороженка","","","","","","","","","","","","","","",""
"","Olden Day IceCream","","","","","","","","Вкусная мороженка","","","","","","","","","","","","","","",""
"","Maltose","","","","","","","","Солодовый сахар","","","","","","","","","","","","","","",""
"","Also known as maltobiose or malt sugar.","","","","","","","","Нет не слипнется","","","","","","","","","","","","","","",""
"","MilkShake","","","","","","","","Молочный коктейл","","","","","","","","","","","","","","",""
"","Super Super Sweet, Flavored MilkShake","","","","","","","","Наивкуснейший медовый молочный коктейль","","","","","","","","","","","","","","",""
"","Pickle Pear","","","","","","","","Варенье","","","","","","","","","","","","","","",""
"","Pickle Pear With Bitter Beats.","","","","","","","","Непонятная бурда из опунции и свеклы","","","","","","","","","","","","","","",""
"","Sweet Pickle Pear","","","","","","","","Свекольное варенье","","","","","","","","","","","","","","",""
"","Steak Burgr","","","","","","","","Премиум стейк бургер","","","","","","","","","","","","","","",""
"","Premium Steak Burger.","","","","","","","","Премиум стейк бургер","","","","","","","","","","","","","","",""
"","Raw Chicken","","","","","","","","Свежая курица","","","","","","","","","","","","","","",""
"","A Raw Chicken","","","","","","","","Настолько свежая курица что может и убежать","","","","","","","","","","","","","","",""
"","Roast Chicken","","","","","","","","Кура гриль","","","","","","","","","","","","","","",""
"","Roasted Chicken","","","","","","","","Обжаренная курица","","","","","","","","","","","","","","",""
"","Sake","","","","","","","","Саке","","","","","","","","","","","","","","",""
"","Body And Mind Original Sake","","","","","","","","Японская водочка","","","","","","","","","","","","","","",""
"","Vietnamese Soup","","","","","","","","Вьетнамский суп","","","","","","","","","","","","","","",""
"","Soy Coffee","","","","","","","","Соевое кофе","","","","","","","","","","","","","","",""
"","Soy Coffee Yummmm Yummmmm","","","","","","","","Кофе на соевом молоке","","","","","","","","","","","","","","",""
"","Soy Milk","","","","","","","","Соевое молоко","","","","","","","","","","","","","","",""
"","Soy Milk Made From Beans.","","","","","","","","Молоко произведено из соевых бобов","","","","","","","","","","","","","","",""
"","Specialty Grains","","","","","","","","Зерновые","","","","","","","","","","","","","","",""
"","Specialty grains, Ground With love.","","","","","","","","Перемолотые зерновые","","","","","","","","","","","","","","",""
"","Urchin Oil","","","","","","","","Ежовое масло","","","","","","","","","","","","","","",""
"","Urchinest Urchin Oil","","","","","","","","Масло из морских ежей","","","","","","","","","","","","","","",""
"","WholeMeal","","","","","","","","Непросеянная мука","","","","","","","","","","","","","","",""
"","WholeMeal Made From Wheat.","","","","","","","","Перемолотые зёрна пшеницы","","","","","","","","","","","","","","",""
"","Full Cream Milk","","","","","","","","Цельное молоко","","","","","","","","","","","","","","",""
"","Full Cream Milk.","","","","","","","","Цельное молоко","","","","","","","","","","","","","","",""
"","Wort","","","","","","","","Пивное сусло","","","","","","","","","","","","","","",""
"","Boot Runners Wort.","","","","","","","","Водный раствор экстрактивных веществ растительного сырья или солода, предназначенный к сбраживанию","","","","","","","","","","","","","","",""
"","ChickenCoop","","","","","","","","Курятник","","","","","","","","","","","","","","",""
"","Chicken Coop","","","","","","","","Курятник","","","","","","","","","","","","","","",""
"","Put Feed in Coop, And you Never Know, Some think could lay an egg.","","","","","","","","Позволит стать повелителем цыпочек","","","","","","","","","","","","","","",""
"","FermentingBarrel","","","","","","","","Бочка для брожения","","","","","","","","","","","","","","",""
"","Fermenting Barrel","","","","","","","","Бочка для брожения","","","","","","","","","","","","","","",""
"","Fermenting Barrel Is Used To Distill Products.","","","","","","","","Крафтовый станок для жимолости","","","","","","","","","","","","","","",""
"","Zymology","","","","","","","","Жимолость","","","","","","","","","","","","","","",""
"","Make new food items and experiment with other food!","","","","","","","","Экспериментируй с новыми вкусами, создай свою азбуку вкуса! ","","","","","","","","","","","","","","",""
"","Zymology Skill Book","","","","","","","","Книга о жимолости","","","","","","","","","","","","","","",""
"","Zymology Skill Scroll","","","","","","","","Страница о жимолости","","","","","","","","","","","","","","",""
