1;404 Pagina no encontrada
2;Permitir llamadas de depuración
3;Servidor privado
4;Lista blanca
5;Lista negra
6;Administración
7;Max Slots
8;Ubicación del spawn
9;Reputaciones
10;Usa los desechos
11;Configuración de red
12;Servidor público
13;dirección IP
14;Puerto del servidor de juegos
15;Puerto del servidor web
16;Tarifa
17;Servicio de navegador de servidor
18;SALVAR
19;Causa y efecto Explorer
20;selecciona una categoría
21;Seleccionar capa
22;Mapas que muestran 400 metros cuadrados centrados en 50,50
23;Elecciones ecológicas
24;Seleccione una elección del menú o puede postularse para la oficina
25;Candidatos
26;Los funcionarios electos reciben 15 reclamos de propiedad
27;Cuando se crea un Tesoro, pueden establecer impuestos (función en progreso)
28;Esta elección usa
29;Votación instantánea de escorrentía
30;Enviar voto
31;Postularse para un cargo
32;Eliminar a uno mismo
33;Resultados actuales
34;Nadie ha votado todavía
35;Votos por ronda
36;Ver todos los votos
37;Discusión
38;Día
39;Ingrese su respuesta
40;Eliminar gráfico
41;Eliminar mapa
42;Enviar
43;Cancelar
44;Para comenzar una nueva elección, debe agregarse como candidato
45;Por favor explica por qué deberías ser elegido
46;Ingrese su habla
47;Elecciones
48;Estado Mundial
49;Datos Científicos
50;Causa y Efecto
51;Presentarse Como Candidata
52;Elección Actual
53;Elecciones Previas
54;Leyes
55;Proponer una Nueva Ley
56;Leyes Activas
57;Leyes Propuestas
58;Ver Distritos
59;Seleccionar Capa de Mapa
60;Datos
61;Grafico
62;Líneas
63;Barras
64;Día
65;Vea los efectos globales que dan forma a este mundo y cómo se influyen mutuamente
66;Seleccione una categoría arriba y use la barra de tiempo en la parte inferior para desplazarse por el historial
67;Exploración de Causa y Efecto
68;Configuración de usuarios
69;Requerir Autenticación
70;días / seg
71;Acciones en el juego
72;Leyes ecológicas
73;Seleccione una ley del menú o puede agregar una nueva
74;Información legal
75;Razonamiento
76;Resultados actuales
77;Esta ley fue aprobada
78;Sí
79;No
80;Agregar gráfico
81;Añadir mapa
82;Cancelar
83;Nombre de la ley
84;Agregar Distritos
85;Eliminar Distritos
86;Agregar nuevo distrito
87;Mantenga presionado el botón derecho para dibujar el distrito
88;Razonamiento
89;Proponer Ley
90;Layer Select Dropdown
91;Terreno
92;Temperatura
93;Altura
94;unity podría enviar una lista completa de opciones al menú desplegable más tarde
95;Capa Seleccione por nombre o número
96;Argumento sobre las leyes va aquí, los mapas se pueden cambiar de tamaño para que quepan mejor con el texto más tarde
97;Progreso del estudiante
98;No hay distritos establecidos todavía
99;Distrito activo